PC343,James Baek's Froslass Jolteon Team,,James Baek,,,,Froslassite,,,Chople Berry,,,Focus Sash,,,White Herb,,,Choice Scarf,,,Sitrus Berry,,https://pokepast.es/85a503be550e4295,Yes,Owner's,✔,UKQNFYWTU7,17 Apr 2026,Video,,https://www.youtube.com/watch?si=d3cQQAXbvh_s1nOa&v=PeDcK8Zh6Qk&feature=youtu.be,-,-,Manual Entry,,Froslass-Mega,Arcanine-Hisui,Jolteon,Sneasler,Garchomp,Hydreigon,,PC343
PC342,pikachu_282's Gardevoir Torkoal Team,,pikachu_282,,,,Gardevoirite,,,Charcoal,,,White Herb,,,Chople Berry,,,Black Glasses,,,Focus Sash,,https://pokepast.es/e437665aea73597a,Yes,Extracted,✔,MS8R0EQLMJ,17 Apr 2026,-,,https://x.com/pikachu_282/status/2044995536705683563?s=46,https://x.com/pikachu_282/status/2044896912294519282?s=20,-,pikachu_282,,Gardevoir-Mega,Torkoal,Sneasler,Maushold-Four,Kingambit,Dragapult,,PC342
PC341,Green's Scovillian Dragonite Team,,Geovanni Polanco,,,,Dragoninite,,,Scovillainite,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,White Herb,,https://pokepast.es/32df2e1e9b3ed840,Yes,Extracted,✔,69K2J1J85D,17 Apr 2026,-,,https://x.com/greencito/status/2045022827946905784?s=46,-,-,greencito,,Dragonite-Mega,Scovillain-Mega,Incineroar,Basculegion,Pelipper,Sneasler,,PC341
PC340,joeypokeaim's Alakazam Meowstic Team,,joeypokeaim,,,,Alakazite,,,Sitrus Berry,,,Lum Berry,,,Colbur Berry,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/31ef782c0d99dabe,Yes,Extracted,✔,E7MUHJM085,17 Apr 2026,-,,https://x.com/joeypokeaim/status/2044936014163050904?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://www.youtube.com/watch?v=kPFycZK0VrM,-,joeypokeaim,,Alakazam-Mega,Rotom-Wash,Farigiraf,Meowstic,Dragapult,Garchomp,,PC340
PC339,ffsade's Froslass Zoroark-Hisui Team,,ffsade,,,,Froslassite,,,Colbur Berry,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Lum Berry,,https://pokepast.es/4275ce1140278534,Yes,Extracted,✔,46L56LMFFK,17 Apr 2026,-,,https://x.com/ffsade/status/2044821573610479653?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ffsade,,Froslass-Mega,Typhlosion-Hisui,Basculegion,Zoroark-Hisui,Gengar,Dragapult,,PC339
PC338,Xeb_41's Dragonite Palafin Team,,Ioannis Baziotis,,,,Dragoninite,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,White Herb,,,Leftovers,,https://pokepast.es/f30cc028c873ec2a,Yes,Extracted,✔,7GNHBCS0RM,17 Apr 2026,-,,https://x.com/xeb_41/status/2044904440029991205?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,xeb_41,,Dragonite-Mega,Incineroar,Palafin,Pelipper,Sneasler,Sinistcha,,PC338
PC337,AndyLa's Glalie Whimsicott Team,,Andrew Lavigne,,,,Glalitite,,,Sitrus Berry,,,Spell Tag,,,Choice Scarf,,,Focus Sash,,,Leftovers,,https://pokepast.es/aa6dc7340b89ea80,Yes,Extracted,✔,2UGBQ0WFTP,17 Apr 2026,-,,https://x.com/andylavgc/status/2044877850763726951?s=46,-,-,andylavgc,,Glalie-Mega,Incineroar,Basculegion,Pelipper,Whimsicott,Sinistcha,,PC337
PC336,mariruri's Charizard-Y Whimsicott Team,,mariruri,,,,Charizardite Y,,,Chople Berry,,,Choice Scarf,,,Fairy Feather,,,Black Glasses,,,Sitrus Berry,,https://pokepast.es/4daca307bb40270d,Yes,Extracted,✔,6SUF8VSWK3,17 Apr 2026,-,,https://x.com/mariruripokemo2/status/2044797826618773711?s=46,-,-,mariruripokemo2,,Charizard,Incineroar,Basculegion,Whimsicott,Kingambit,Garchomp,,PC336
PC335,cantfly's Floette Delphox Team,,Yuma Miyamoto,,,,Delphoxite,,,Floettite,,I,,,,Sitrus Berry,,,Chople Berry,,,Soft Sand,,https://pokepast.es/3d513d6ed0736eb1,Yes,Extracted,✔,SQR0ES56CE,17 Apr 2026,-,,https://x.com/cantfly_ss/status/2044851850307150299?s=46,-,-,cantfly_ss,,Delphox-Mega,Floette-Eternal-Mega,Talonflame,Sinistcha,Kingambit,Garchomp,,PC335
PC334,kazuki's Floette Maushold Team,,kazuki,,,,Floettite,,,Chople Berry,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/855c9facc8d9ae9e,Yes,Extracted,✔,6YG9Y8RPRN,17 Apr 2026,-,,https://x.com/ikazuki148/status/2044837544345657728?s=46,-,-,ikazuki148,,Floette-Eternal-Mega,Incineroar,Talonflame,Maushold,Sinistcha,Garchomp,,PC334
PC333,Cosmos' Gyarados Gourgeist Team,,Jack Clarke,,,,Gengarite,,,Gyaradosite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Leftovers,,https://pokepast.es/66a80f9aa1ff0f6c,Yes,Extracted,✔,VTREU25E9L,16 Apr 2026,-,,https://x.com/TheGoldenCosmos/status/2044793772312015173?s=20,-,-,TheGoldenCosmos,,Gengar-Mega,Gyarados-Mega,Incineroar,Gourgeist-Small,Ninetales-Alola,Kommo-o,,PC333
PC332,PokeReplaysVGC's Charizard-X Milotic Team,,Adam Wright,,,,Charizardite X,,,Leftovers,,,Focus Sash,,,White Herb,,,Spell Tag,,,Fairy Feather,,https://pokepast.es/45d9ccd651db8e9e,Yes,Extracted,✔,QR72TGSR62,16 Apr 2026,-,,https://x.com/PokeReplaysVGC/status/2044798338168431070?s=20,-,-,PokeReplaysVGC,,Charizard,Milotic,Aerodactyl,Sneasler,Aegislash,Sylveon,,PC332
PC331,memphii71's Floette Sinistcha Team,,memphii71,,,,Floettite,,,Leftovers,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/e46b63ec9c617da2,Yes,Extracted,✔,U220QSL90V,16 Apr 2026,-,,https://x.com/memphii71/status/2044626764844970260?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,memphii71,,Floette-Eternal-Mega,Incineroar,Basculegion,Aerodactyl,Sneasler,Sinistcha,,PC331
PC330,og_albina's Delphox Whimsicott Team,,og_albina,,,,Delphoxite,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Sitrus Berry,,,Lum Berry,,https://pokepast.es/c110f0641d3c6846,Yes,Extracted,✔,MA54P0FKRP,16 Apr 2026,-,,https://x.com/og_albina/status/2045522720625221961?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,og_albina,,Delphox-Mega,Basculegion,Sneasler,Whimsicott,Kingambit,Garchomp,,PC330
PC329,Wowyang's Charizard-Y Conkeldurr Team,,Fang Yu-Yang,,,,Charizardite Y,,,Shuca Berry,,,Focus Sash,,,Mental Herb,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/bbe510093a61f612,Yes,Extracted,✔,3E5E9Q5KFT,16 Apr 2026,-,,https://x.com/wowyang4/status/2044755039135379884?s=46,-,-,wowyang4,,Charizard,Incineroar,Venusaur,Conkeldurr,Farigiraf,Gardevoir,,PC329
PC328,WoodTofu's Floette Rain Team,,WoodTofu,,,,Floettite,,,Focus Sash,,,Choice Scarf,,,White Herb,,,Leftovers,,,Dragon Fang,,https://pokepast.es/e403ba2134ab3c3e,Yes,Extracted,✔,42X9TFU4TC,16 Apr 2026,-,,https://x.com/WoodTofuVGC/status/2044739714880819592?s=20,-,-,WoodTofuVGC,,Floette-Eternal-Mega,Basculegion,Pelipper,Sneasler,Corviknight,Archaludon,,PC328
PC327,SuperMemeBroz's Scizor Rain Team,,SuperMemeBroz,,,,Scizorite,,,Mystic Water,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Chople Berry,,https://pokepast.es/812daadc839422f5,Yes,Extracted,✔,V79MBYP3PS,15 Apr 2026,-,,https://x.com/supermemebroz/status/2044265990075363455?s=46,https://x.com/SuperMemeBroz/status/2044366870338511205,-,supermemebroz,,Scizor-Mega,Basculegion,Pelipper,Sneasler,Sinistcha,Archaludon,,PC327
PC326,WDMichael's Golurk Sun Room Team,,WDMichael,,,,Golurkite,,,Charcoal,,,Focus Sash,,,Mental Herb,,,Fairy Feather,,,Black Glasses,,https://pokepast.es/345c89359ef8890f,Yes,Extracted,✔,6RK6YB0M37,15 Apr 2026,-,,https://x.com/its_wdmichael/status/2044518552594444293?s=46,-,-,its_wdmichael,,Golurk-Mega,Torkoal,Maushold-Four,Oranguru,Hatterene,Hydreigon,,PC326
PC325,Félice's Floette Tyranitar Team,,Félice,,,,Floettite,,,Tyranitarite,,,White Herb,,,Sitrus Berry,,,Leftovers,,,Choice Scarf,,https://pokepast.es/9da650cfe2c7844e,Yes,Owner's,✔,UHEKDBAJAP,15 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Floette-Eternal-Mega,Tyranitar-Mega,Sneasler,Sinistcha,Corviknight,Garchomp,,PC325
PC324,the_egman's Delphox Dragonite Team,,the_egman,,,,Delphoxite,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,,Black Belt,,,Lum Berry,,https://pokepast.es/3fdfe98a0aa57765,Yes,Extracted,✔,4PURFQMSM7,15 Apr 2026,-,,https://x.com/the_egman/status/2044602739809046832?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,the_egman,,Delphox-Mega,Basculegion,Sneasler,Clefable,Kingambit,Dragonite,,PC324
PC323,AldrichYan's Talonflame Sand Team,,Aldrich Yan Sutandra,,,,Tyranitarite,,,Sharp Beak,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Bright Powder,,https://pokepast.es/c31f47380affbeb6,Yes,Owner's,✔,CMACMYSRQJ,15 Apr 2026,-,,https://x.com/AldrichYan/status/2042883870971039881,-,-,AldrichYan,,Tyranitar-Mega,Talonflame,Typhlosion-Hisui,Lycanroc,Sneasler,Garchomp,,PC323
PC322,sunnie's Audino Trick Room Team,,sunnie,,,,Audinite,,,Charcoal,,,Leftovers,,,White Herb,,,Occa Berry,,,Black Glasses,,https://pokepast.es/6497ba47d91320e6,Yes,Extracted,✔,BYTJUX6W9Q,15 Apr 2026,-,,https://x.com/sunniettv/status/2044603227740557599?s=46,-,-,sunniettv,,Audino-Mega,Torkoal,Milotic,Sneasler,Sinistcha,Kingambit,,PC322
PC321,Pyreon's Glimmora Delphox Team,,Nuno Rosario,,,,Delphoxite,,,Glimmoranite,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,White Herb,,https://pokepast.es/5656a6cc8419bc6a,Yes,Extracted,✔,MY6PUCXV9S,15 Apr 2026,-,,https://x.com/pyreonpt/status/2044556573003915564?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,pyreonpt,,Delphox-Mega,Glimmora-Mega,Gyarados,Whimsicott,Kingambit,Garchomp,,PC321
PC320,Jaylun's Gardevoir Basculegion Team,,Yang Chieh-Lun,,,,Gardevoirite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Black Glasses,,,White Herb,,https://pokepast.es/d58aea0999b81958,Yes,Owner's,✔,MRX3MTH1NJ,15 Apr 2026,Video,,https://x.com/jaylun44/status/2044588099683123478?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://youtu.be/x1KvTFOGcWE?si=E46pMEx4MKLP-GOS,-,jaylun44,,Gardevoir-Mega,Incineroar,Basculegion,Aerodactyl,Kingambit,Garchomp,,PC320
PC319,Nicco3003's Scizor Lucario Team,,Nicco3003,,,,Lucarionite,,,Scizorite,,,Sitrus Berry,,,Mystic Water,,,Leftovers,,,Miracle Seed,,https://pokepast.es/2b3c1097f6bee755,Yes,Extracted,✔,MU71UJWJBX,15 Apr 2026,-,,https://x.com/niccovgc/status/2044548021329748099?s=46,-,-,niccovgc,,Lucario-Mega,Scizor-Mega,Incineroar,Palafin,Politoed,Sinistcha,,PC319
PC318,MichaelderBeste's Blastoise Aerodactyl Team,,Michael Kelsch,,,,Aerodactylite,,,Blastoisinite,,,Silk Scarf,,,Sitrus Berry,,,Colbur Berry,,,Black Glasses,,https://pokepast.es/235d24178d18f2c3,Yes,Extracted,✔,N9A8848R8C,15 Apr 2026,-,,https://x.com/michaelderbeste/status/2044505979782402247?s=46,-,-,michaelderbeste,,Aerodactyl-Mega,Blastoise-Mega,Kangaskhan,Farigiraf,Sinistcha,Kingambit,,PC318
PC317,Juan's Scizor Rain Team,,Juan,,,,Dragoninite,,,Choice Scarf,,,Leftovers,,,White Herb,,,Sitrus Berry,,,Metal Coat,,https://pokepast.es/c449246b92aff0d9,Yes,Extracted,✔,7APE2SBBEL,15 Apr 2026,-,,https://x.com/juanskills10/status/2044430235651739861?s=46,-,-,juanskills10,,Dragonite-Mega,Basculegion,Politoed,Sneasler,Sinistcha,Scizor,,PC317
PC316,rphmadruga's Venusaur Sand Team,,rphmadruga,,,,Venusaurite,,,Shuca Berry,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Chople Berry,,https://pokepast.es/fcf835b603b875db,No,Extracted,X,None,15 Apr 2026,-,,https://x.com/rphmadruga/status/2044439601549369476?s=46,-,-,rphmadruga,,Venusaur-Mega,Incineroar,Rotom-Wash,Excadrill,Sneasler,Tyranitar,,PC316
PC315,Shunsuke's Floette Delphox Team,,Shunsuke,,,,Delphoxite,,,Floettite,,,Focus Sash,,,White Herb,,,Leftovers,,,Sitrus Berry,,https://pokepast.es/16465cc9dae2d6b4,Yes,Extracted,✔,MB7DNAEXDN,15 Apr 2026,-,,https://x.com/shunsuke_2510/status/2044409012922593666?s=46,-,-,shunsuke_2510,,Delphox-Mega,Floette-Eternal-Mega,Basculegion,Sneasler,Corviknight,Garchomp,,PC315
PC314,soulkw's Recreation of Yuma's Starmie Rain Team,,soulkw,,,,Starminite,,,Focus Sash,,,White Herb,,,Choice Scarf,,,Black Glasses,,,Sitrus Berry,,https://pokepast.es/679c0391c31e85f0,Yes,Extracted,✔,YQ2VVQXHCC,16 Apr 2026,Video,,Discord Submission,youtube.com/watch?v=1oo9opuETVc&feature=youtu.be,-,Manual Entry,,Starmie-Mega,Pelipper,Sneasler,Sinistcha,Kingambit,Garchomp,,PC314
PC313,yuki_pkmon's Venusaur Aerodactyl Team,,yuki_pkmon,,,,Aerodactylite,,,Venusaurite,,,Sitrus Berry,,,Choice Scarf,,,Chople Berry,,,Haban Berry,,https://pokepast.es/54e62febd2e94b0e,Yes,Extracted,✔,KR00D268JB,15 Apr 2026,-,,https://x.com/yuki_pkmon/status/2044316315297685554?s=46,-,-,yuki_pkmon,,Aerodactyl-Mega,Venusaur-Mega,Torkoal,Basculegion-F,Kingambit,Garchomp,,PC313
PC312,dynamotwentytwo's Aerodactyl Ariados Team,,dynamotwentytwo,,,,Aerodactylite,,,Sitrus Berry,,,Focus Sash,,,Light Ball,,,Silver Powder,,,Leftovers,,https://pokepast.es/94499c2b5bc8fee2,Yes,Extracted,✔,LG2RFFVFHH,15 Apr 2026,-,,https://x.com/dynamotwentytwo/status/2044116445127217322?s=46,-,-,dynamotwentytwo,,Aerodactyl-Mega,Azumarill,Pelipper,Pikachu,Ariados,Archaludon,,PC312
PC311,KKCWind's Beedrill Conkeldurr Team,,Huang Yang-Jie,,,,Beedrillite,,,Chople Berry,,,Leftovers,,,Black Belt,,,Sitrus Berry,,,Lum Berry,,https://pokepast.es/852b69984a9cad49,Yes,Extracted,X,None,15 Apr 2026,-,,https://x.com/asc5543/status/2044312363629981734?s=46,-,-,asc5543,,Beedrill-Mega,Incineroar,Milotic,Conkeldurr,Farigiraf,Garchomp,,PC311
PC310,rirunnpapa's Meganium Tyranitar Team,,Shintaro Amemiya,,,,Meganiumite,,,Tyranitarite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Soft Sand,,https://pokepast.es/8d2ccb4d1b419183,Yes,Extracted,✔,WGX1H4V58B,15 Apr 2026,-,,https://x.com/rirunnpapa/status/2044297511586935116?s=46,-,-,rirunnpapa,,Meganium-Mega,Tyranitar-Mega,Basculegion,Aerodactyl,Sneasler,Garchomp,,PC310
PC309,lovelyluwuna's Dragonite Rain Team,,lovelyluwuna,,,,Dragoninite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Black Glasses,,https://pokepast.es/092995c1b7b72817,Yes,Extracted,X,None,15 Apr 2026,-,,https://x.com/lovelyluwuna/status/2044238922520375591?s=46,-,-,lovelyluwuna,,Dragonite-Mega,Incineroar,Basculegion,Pelipper,Sneasler,Kingambit,,PC309
PC308,Krebs' Floette Sun Team,,Andrew Krebs,,,,Floettite,,,Chople Berry,,,Charcoal,,,Focus Sash,,,Sitrus Berry,,,Choice Scarf,,https://pokepast.es/ac8d86eec67acd63,Yes,Extracted,✔,8VGGY8KBF0,15 Apr 2026,-,,https://x.com/krebsvgc/status/2044214883198108080?s=46,-,-,krebsvgc,,Floette-Eternal-Mega,Incineroar,Torkoal,Venusaur,Farigiraf,Garchomp,,PC308
PC307,Haruka's Froslass Tyranitar Team,,Haruka,,,,Froslassite,,,Tyranitarite,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Chople Berry,,https://pokepast.es/445a478b0d5b86c7,Yes,Extracted,✔,322JHVC5DX,15 Apr 2026,-,,https://x.com/harukaminaduki/status/2044085215329693782?s=46,-,-,harukaminaduki,,Froslass-Mega,Tyranitar-Mega,Incineroar,Tauros-Paldea-Aqua,Whimsicott,Kingambit,,PC307
PC306,daikousin's Floette Delphox Team,,daikousin,,,,Delphoxite,,,Floettite,,,Focus Sash,,,Chople Berry,,,Black Glasses,,,Sitrus Berry,,https://pokepast.es/d38b6fc076964d3c,Yes,Extracted,✔,7CXXEL8XKU,15 Apr 2026,-,,https://x.com/daikousin45/status/2044180213937123401?s=46,-,-,daikousin45,,Delphox-Mega,Floette-Eternal-Mega,Basculegion,Maushold-Four,Kingambit,Garchomp,,PC306
PC305,MichaelderBeste's Blastoise Aerodactyl Team,,MichaelderBeste,,,,Aerodactylite,,,Blastoisinite,,,Silk Scarf,,,Sitrus Berry,,,Colbur Berry,,,Black Glasses,,https://pokepast.es/37ba208ec079311b,Yes,Extracted,✔,5TVY62GVPN,15 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Aerodactyl-Mega,Blastoise-Mega,Kangaskhan,Farigiraf,Sinistcha,Kingambit,,PC305
PC304,Wolfey's Meganium Kangaskhan Team,,Wolfey,,,,Kangaskhanite,,,Meganiumite,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Dragon Fang,,https://pokepast.es/16190783fca61fc8,Yes,Extracted,✔,DYK22P2B2R,15 Apr 2026,Video,,https://www.youtube.com/watch?v=HxHTeE0UrnA,-,-,Manual Entry,,Kangaskhan-Mega,Meganium-Mega,Typhlosion-Hisui,Tauros-Paldea-Aqua,Aerodactyl,Archaludon,,PC304
PC303,LordKraboss' Zoroark Hydrapple Team,,LordKraboss,,,,Tyranitarite,,,Choice Scarf,,,Leftovers,,,Coba Berry,,,Focus Sash,,,Bright Powder,,https://pokepast.es/ec7941e6fa9711ed,Yes,Extracted,✔,E8LA1X6QY5,15 Apr 2026,-,,https://x.com/LordKraboss/status/2044114119637303495,-,-,LordKraboss,,Tyranitar-Mega,Basculegion,Milotic,Hydrapple,Zoroark-Hisui,Garchomp,,PC303
PC302,moscate1oon's Aggron Tyranitar Team,,moscate1oon,,,,Aggronite,,,Tyranitarite,,,Choice Scarf,,,White Herb,,,Sitrus Berry,,,Bright Powder,,https://pokepast.es/158716c740ce32e0,Yes,Extracted,✔,A22AWRUTNH,15 Apr 2026,-,,https://x.com/moscate1oon/status/2044057950671798359?s=46,-,-,moscate1oon,,Aggron-Mega,Tyranitar-Mega,Basculegion,Sneasler,Farigiraf,Sinistcha,,PC302
PC301,soulkw's Aggron Ceruledge Team,,soulkw,,,,Aggronite,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Colbur Berry,,https://pokepast.es/27aa7d6d06915532,Yes,Owner's,✔,DDH3AS57D0,15 Apr 2026,Video,,Discord Submission,https://www.youtube.com/watch?v=u5YSDd2ih9A,-,Manual Entry,,Aggron-Mega,Ceruledge,Incineroar,Pelipper,Sneasler,Sinistcha,,PC301
PC300,LenVGC's Scovillian Gallade Team,,Alex Soto,,,,Scovillainite,,,White Herb,,,Mystic Water,,,Black Belt,,,Sitrus Berry,,,Black Glasses,,https://pokepast.es/e44266fb412bb555,Yes,Extracted,X,None,15 Apr 2026,-,,https://x.com/lenvgc/status/2044095998801158334?s=46,-,-,lenvgc,,Scovillain-Mega,Incineroar,Pelipper,Gallade,Farigiraf,Kingambit,,PC300
PC299,UB_SLOW's Warm Up Challenge 5th Place Team,,Kaito Arii,,,,Tyranitarite,,,Leftovers,,,White Herb,,,Sitrus Berry,,,Occa Berry,,,Choice Scarf,,https://pokepast.es/a9852b054bd45430,Yes,Extracted,✔,RVD46N9M2H,13 Apr 2026,Warm Up Challenge,5th,https://x.com/ub_slow/status/2043630990539796757?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ub_slow,,Tyranitar-Mega,Rotom-Wash,Sneasler,Sinistcha,Corviknight,Garchomp,,PC299
PC298,tytokiarts' Warm Up Challenge Team,,tytokiarts,,,,Meganiumite,,,Sitrus Berry,,,Mystic Water,,,Focus Band,,,Mental Herb,,,Leftovers,,https://pokepast.es/89c3ba034700772e,Yes,Extracted,✔,PGYWUSW7DS,14 Apr 2026,Warm Up Challenge,406th,https://x.com/tytokiarts/status/2043727582160458248?s=46,-,-,tytokiarts,,Meganium-Mega,Incineroar,Simipour,Aerodactyl,Farigiraf,Aegislash,,PC298
PC297,Cubone's Warm Up Challenge Team,,Cubone,,,,Scovillainite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Leftovers,,https://pokepast.es/fb334a6a6163427e,Yes,Extracted,✔,F0LBEPV7Q6,13 Apr 2026,Warm Up Challenge,420th,https://x.com/cubone104105/status/2043627130689634641?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cubone104105,,Scovillain-Mega,Incineroar,Basculegion,Sandaconda,Sneasler,Goodra-Hisui,,PC297
PC296,Whitezero2000's Aerodactyl Zoroark Team,,Pai Yu-Ping,,,,Aerodactylite,,,Mystic Water,,,White Herb,,,Choice Scarf,,,Mental Herb,,,Black Belt,,https://pokepast.es/38ef66187c6b6022,Yes,Extracted,✔,UYNJK2PH7J,14 Apr 2026,Video,,https://x.com/Whitezero2000/status/2044074907001335912?s=20,youtube.com/watch?si=Lb9sS9cchZJX6mAj&v=dI2SYZ-_3-8&feature=youtu.be,-,Whitezero2000,,Aerodactyl-Mega,Primarina,Sneasler,Zoroark-Hisui,Sinistcha,Kingambit,,PC296
PC295,jeraru's Charizard-Y Aegislash Team,,Kiyoshiro Arai,,,,Charizardite Y,,,Choice Scarf,,,Leftovers,,,Spell Tag,,,Black Glasses,,,Sitrus Berry,,https://pokepast.es/071a82e2abb64b7a,Yes,Extracted,✔,RHQXFVAE7G,14 Apr 2026,-,,https://x.com/jeraru1105/status/2044075084281966791?s=20,-,-,jeraru1105,,Charizard,Basculegion,Milotic,Aegislash,Kingambit,Garchomp,,PC295
PC294,marun_pokemon's Lopunny Aegislash Team,,marun_pokemon,,,,Lopunnite,,,Choice Scarf,,,Focus Sash,,,Leftovers,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/0563b78be7a90737,Yes,Extracted,✔,B9ULLF4RKJ,14 Apr 2026,-,,https://x.com/marun_pokemon/status/2043984054094344339?s=46,-,-,marun_pokemon,,Lopunny-Mega,Gyarados,Glimmora,Aegislash,Kingambit,Garchomp,,PC294
PC293,poke822omochi's Charizard-Y Gallade Team,,poke822omochi,,,,Galladite,,,Charizardite Y,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/ec4cddd0a4bc376e,Yes,Extracted,✔,7EQFW25167,14 Apr 2026,-,,https://x.com/poke822omochi/status/2043992700417126627?s=46,-,-,poke822omochi,,Gallade-Mega,Charizard,Incineroar,Sneasler,Whimsicott,Garchomp,,PC293
PC292,urshifu19's Blastoise Gardevoir Team,,urshifu19,,,,Blastoisinite,,,Gardevoirite,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Chople Berry,,https://pokepast.es/6dc13b971d82e8c3,Yes,Extracted,✔,G3QXBVLUUL,14 Apr 2026,-,,https://x.com/urshifu19/status/2044007553735266323?s=46,-,-,urshifu19,,Blastoise-Mega,Gardevoir-Mega,Pelipper,Sneasler,Sinistcha,Kingambit,,PC292
PC291,satsuma1102's Charizard-Y Mamoswine Team,,satsuma1102,,,,Charizardite Y,,,Choice Scarf,,,Focus Sash,,,Never-Melt Ice,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/b832c55dfb1a64dc,Yes,Extracted,✔,LWRCWF5QM2,14 Apr 2026,-,,https://x.com/satsuma1102/status/2043993028088737805?s=46,-,-,satsuma1102,,Charizard,Rotom-Wash,Aerodactyl,Mamoswine,Kingambit,Garchomp,,PC291
PC290,joeypokeaim's Pinsir Rotom Team,,joeypokeaim,,,,Pinsirite,,,Sitrus Berry,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Soft Sand,,https://pokepast.es/ef72aea362e52200,Yes,Extracted,✔,6GULYRKU91,14 Apr 2026,-,,https://x.com/joeypokeaim/status/2043969067430584703?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,joeypokeaim,,Pinsir-Mega,Rotom-Heat,Basculegion,Sneasler,Kingambit,Garchomp,,PC290
PC289,brisketssb's Glimmora Sand Team,,brisketssb,,,,Glimmoranite,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Chople Berry,,,Bright Powder,,https://pokepast.es/d8486a1aac34f819,Yes,Extracted,✔,LJ129A6ACB,14 Apr 2026,-,,https://x.com/brisketssb/status/2043923122416500951?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,brisketssb,,Glimmora-Mega,Incineroar,Rotom-Wash,Aerodactyl,Tyranitar,Garchomp,,PC289
PC288,Desu's The Champions Cup Tour Runner Up Team,,Nico Davide Cognetta,,,,Floettite,,,Garchompite,,,Chople Berry,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/15ecb8720046ad31,Yes,Extracted,✔,MGJ3ABHLYA,14 Apr 2026,The Champions Cup Tour,Runner Up,https://x.com/desuvgc/status/2043926724476289339?s=46,-,-,desuvgc,,Floette-Eternal-Mega,Garchomp-Mega,Incineroar,Sneasler,Sinistcha,Corviknight,,PC288
PC287,Josh Tarrant's Chesnaught Scizor Rain Team,,Josh Tarrant,,,,Chesnaughtite,,,Scizorite,,,Chople Berry,,,Choice Scarf,,,Sitrus Berry,,,White Herb,,https://pokepast.es/d4504dc3d9457c59,Yes,Extracted,✔,RSD4QNPJV2,14 Apr 2026,-,,https://x.com/joshplusone_/status/2043856899800498245?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,joshplusone_,,Chesnaught-Mega,Scizor-Mega,Incineroar,Basculegion,Politoed,Archaludon,,PC287
PC286,bigstevejrpg's VGCA Battle #25 Top 4 Team,,bigstevejrpg,,,,Floettite,,,Choice Scarf,,,Leftovers,,,White Herb,,,Black Glasses,,,Focus Sash,,https://pokepast.es/8bf3064b73e520d6,Yes,Extracted,✔,X23V4AWRXD,14 Apr 2026,VGCA Battle #25,4th,https://x.com/bigstevejrpg/status/2043842295615684674?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,bigstevejrpg,,Floette-Eternal-Mega,Arcanine-Hisui,Rotom-Wash,Sneasler,Kingambit,Dragapult,,PC286
